Submitted at,"De 1 a 5, qual é sua avaliação geral sobre o curso?","De 1 a 5, o que você achou do nível dos professores?","De 1 a 5, o que você achou do material didático?","De 1 a 5, o que você achou da organização e do atendimento do curso?","De 1 a 5, você faria outro curso com o Canal Solar?","De 1 a 5, você indicaria um curso do Canal Solar para um amigo?",Questão 8,feedback,curso
"1 de dez. de 2025, 10:43",4,5,4,4,5,,,,armazenamento
"1 de dez. de 2025, 08:34",4,3,4,5,5,5,Sim,Curso ótimo aprendi vários conceitos novos,armazenamento
"29 de nov. de 2025, 23:36",5,5,5,5,5,5,Não,,aterramento
"29 de nov. de 2025, 13:03",5,5,5,5,5,5,Não,,armazenamento
"28 de nov. de 2025, 22:08",5,5,5,5,5,5,Não,,armazenamento
"26 de nov. de 2025, 12:29",5,5,5,5,5,5,Não,,comercialevendas
"25 de nov. de 2025, 14:52",3,,,,,,,,fundamentos
"24 de nov. de 2025, 18:56",5,5,5,5,5,5,Não,,zerogrid
"24 de nov. de 2025, 18:47",5,5,5,5,5,5,Não,,zerogrid
"24 de nov. de 2025, 07:57",4,4,4,5,4,4,Sim,"Bom dia!
No meu caso eu senti a falta de um projeto real pra facilitar o entendimento e dar mais segurança no dimensionamento do sistema, na parte teórica deu pra pegar bem mas faltou isso ao  meu ver...",armazenamento
"23 de nov. de 2025, 21:51",5,5,5,5,5,5,Não,,fundamentos
"23 de nov. de 2025, 07:46",3,5,3,3,3,3,Não,,fundamentos
"20 de nov. de 2025, 19:02",5,5,5,5,5,5,Não,,armazenamento
"20 de nov. de 2025, 18:31",4,5,5,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 13:56",5,4,4,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 10:07",3,5,3,4,4,4,Sim,"Os instrutores são profundos conhecedores do tema, mas a forma como o curso é construído deixa a desejar, sinto falta de detalhamento, de aprofundamento do tema, são informações muito relvantes mas passadas de forma pouco didática. O material didático também é pouco organzado, pouco profissional. Sinto falta de apostilas no formato de livros. É preciso lembrar que o curso não é vitálicio e se precisarmos tirar dúvidas ou buscar novamente a informação de algum tema especifico, não teremos acesso.

O curso poderia ter uma cara de pós graduação e que sabe um certificado com essa valia, traria muito valor em todos os aspectos",usinas
"20 de nov. de 2025, 00:51",5,5,5,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 00:18",5,5,5,5,5,5,Não,,armazenamento
"19 de nov. de 2025, 21:01",5,5,5,5,5,5,Não,,aterramento
"18 de nov. de 2025, 19:01",5,5,5,5,5,5,Não,,visitaguiada
"17 de nov. de 2025, 22:14",5,5,5,5,5,5,Não,,fundamentos
"17 de nov. de 2025, 17:18",5,5,5,5,5,5,Não,,zerogrid
"16 de nov. de 2025, 21:38",5,5,5,,,,,,engenharia  style=
"14 de nov. de 2025, 09:09",5,5,5,5,5,5,Não,,usinas
"12 de nov. de 2025, 09:22",5,5,5,5,5,5,Não,,usinas
"12 de nov. de 2025, 02:47",5,5,5,5,,,,,fundamentos
"11 de nov. de 2025, 11:58",5,5,5,5,5,5,Não,,tributos
"11 de nov. de 2025, 09:31",5,5,5,5,5,5,Não,,armazenamento
"10 de nov. de 2025, 13:12",5,5,5,5,5,5,Não,,armazenamento
"10 de nov. de 2025, 01:01",5,5,5,5,5,5,Não,,engenharia  style=
"9 de nov. de 2025, 21:36",5,5,5,5,,,,,fundamentos
"9 de nov. de 2025, 21:07",5,5,5,,,,,,microgeracao
"9 de nov. de 2025, 19:05",5,5,5,5,5,5,Não,,fundamentos
"9 de nov. de 2025, 10:05",5,5,5,5,5,5,Não,,armazenamento
"8 de nov. de 2025, 20:07",4,5,5,4,4,5,Não,,fundamentos
"8 de nov. de 2025, 13:46",5,5,5,,,,,,comercialevendas
"7 de nov. de 2025, 21:22",5,5,5,5,5,5,Não,,armazenamento
"6 de nov. de 2025, 11:10",5,5,5,4,5,4,Não,,armazenamento
"6 de nov. de 2025, 10:19",5,,,,,,,,comercialevendas
"6 de nov. de 2025, 10:19",5,,,,,,,,comercialevendas
"6 de nov. de 2025, 09:11",4,5,5,5,4,5,Não,,armazenamento
"5 de nov. de 2025, 14:55",5,5,4,4,5,5,Não,,armazenamento
"5 de nov. de 2025, 10:49",5,5,5,5,5,5,Não,,armazenamento
"4 de nov. de 2025, 15:24",5,5,5,5,5,5,Não,,armazenamento
"4 de nov. de 2025, 12:55",5,4,4,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 23:44",5,5,5,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 23:21",4,4,5,3,2,3,Não,,fundamentos
